Date,Volume,Adj Close
2016-03-30,3858000,172.681849
2016-03-31,3155400,172.437797
2016-04-01,4035200,173.492106
2016-04-04,2318900,172.906373
2016-04-05,5439600,171.637312
2016-04-06,4086700,172.828275
2016-04-07,5251900,171.119907
2016-04-08,2565300,171.481115
2016-04-11,3237700,171.266347
2016-04-12,3588400,172.877088
2016-04-13,5400200,174.663555
2016-04-14,3689700,174.849037
2016-04-15,3799900,174.555953
2016-04-18,2573700,175.630571
2016-04-19,2992100,176.158116
2016-04-20,2628900,176.578184
2016-04-21,2760300,175.552415
2016-04-22,2410500,175.747796
2016-04-25,2485500,175.396105
2016-04-26,2241000,175.493803
2016-04-27,3569300,176.089724
2016-04-28,3550700,174.087036
2016-04-29,5496000,173.491115
2016-05-02,2463100,174.575496
2016-05-03,4643200,173.207815
2016-05-04,3446000,172.250438
2016-05-05,1778800,172.367664
2016-05-06,2940800,173.246885
2016-05-09,1921700,172.895193
2016-05-10,2867200,175.063956
2016-05-11,2697200,173.207815
2016-05-12,2534900,173.32504
2016-05-13,3336800,171.429814
2016-05-16,2393500,173.16873
2016-05-17,3349500,171.50797
2016-05-18,4099800,171.576361
2016-05-19,5090900,170.648276
2016-05-20,2749700,171.326682
2016-05-23,1736000,171.346294
2016-05-24,2797000,173.385432
2016-05-25,2711900,174.777533
2016-05-26,2263200,174.581465
2016-05-27,1628300,174.993212
2016-05-31,2395400,174.159905
2016-06-01,2481200,174.238335
2016-06-02,1965900,174.777533
2016-06-03,4367200,174.561854
2016-06-06,2720300,175.659846
2016-06-07,1572300,175.855929
2016-06-08,1713500,176.522562
2016-06-09,2141800,176.346106
2016-06-10,4126600,175.199093
2016-06-13,5111300,173.875609
2016-06-14,3643400,173.336411
2016-06-15,2470100,173.101136
2016-06-16,5573700,173.973651
2016-06-17,2748000,173.398996
2016-06-20,2958400,174.656363
2016-06-21,1854700,174.911761
2016-06-22,2966200,174.430434
2016-06-23,2949100,176.630819
2016-06-24,11377900,170.550261
2016-06-27,7683900,168.17305
2016-06-28,5642800,170.746737
2016-06-29,5578200,173.516869
2016-06-30,5069000,175.835143
2016-07-01,3998200,176.13966
2016-07-05,3233100,175.059118
2016-07-06,5395400,175.815493
2016-07-07,2343300,175.62885
2016-07-08,5177300,178.09448
2016-07-11,2358700,178.899974
2016-07-12,3128000,180.147524
2016-07-13,2390500,180.353818
2016-07-14,3354700,181.689772
2016-07-15,3837200,181.74384
2016-07-18,2134900,181.940445
2016-07-19,2046300,182.274674
2016-07-20,2159500,182.628567
2016-07-21,2837700,181.842135
2016-07-22,3078300,182.363143
2016-07-25,2316600,181.675021
2016-07-26,4744400,181.468591
2016-07-27,4146700,181.448926
2016-07-28,2906300,181.252322
2016-07-29,4207300,181.006563
2016-08-01,3295900,180.750964
2016-08-02,5139500,179.866237
2016-08-03,3008200,180.24962
2016-08-04,2368900,180.33809
2016-08-05,4187700,182.117384
2016-08-08,2076700,182.137049
2016-08-09,1903800,182.205869
2016-08-10,1618300,181.97976
2016-08-11,2188700,183.139751
2016-08-12,2514300,182.746527
2016-08-15,1561500,183.35602
2016-08-16,1614100,182.608902
2016-08-17,2952000,182.943146
2016-08-18,2571800,183.179066
2016-08-19,2368500,182.819981
2016-08-22,3152400,182.622667
2016-08-23,1647900,182.800247
2016-08-24,1882900,182.168881
2016-08-25,2034900,181.882785
2016-08-26,3403500,181.340217
2016-08-29,2229800,182.336586
2016-08-30,1866700,182.020896
2016-08-31,1876400,181.458593
2016-09-01,3003500,181.616438
2016-09-02,2652800,182.36618
2016-09-06,2152300,182.819981
2016-09-07,1803600,182.819981
2016-09-08,2229900,182.326726
2016-09-09,8242600,178.46947
2016-09-12,7056100,180.827227
2016-09-13,7477500,178.360953
2016-09-14,2990400,177.995934
2016-09-15,3932400,179.801249
2016-09-16,2844300,178.876085
2016-09-19,2260400,178.885964
2016-09-20,1997800,178.955162
2016-09-21,4496500,180.546534
2016-09-22,2323500,181.534963
2016-09-23,1741500,180.309305
2016-09-26,2639800,178.65863
2016-09-27,3717300,179.894167
2016-09-28,6413000,180.981445
2016-09-29,3376400,179.123193
2016-09-30,4583000,180.66514
2016-10-03,1987600,180.210471
2016-10-04,2811200,179.380179
2016-10-05,1818200,180.546534
2016-10-06,2368100,180.408154
2016-10-07,2527700,180.111622
2016-10-10,1879100,181.001203
2016-10-11,3949800,179.10342
2016-10-12,1920200,179.271451
2016-10-13,3460100,178.747585
2016-10-14,2698100,179.192375
2016-10-17,1801800,178.628978
2016-10-18,1720700,179.271451
2016-10-19,1503700,179.894167
2016-10-20,2359600,179.439482
2016-10-21,5607600,179.300976
2016-10-24,1905700,180.033145
2016-10-25,3351100,179.558217
2016-10-26,5375400,179.845154
2016-10-27,2027100,179.60769
2016-10-28,3726600,179.439492
2016-10-31,1415600,179.251502
2016-11-01,3622300,178.212618
2016-11-02,3552700,177.450783
2016-11-03,1966900,177.213319
2016-11-04,4337500,176.817561
2016-11-07,3402400,180.428903
2016-11-08,3437500,181.438106
2016-11-09,8363900,183.990787
2016-11-10,8748100,186.137806
2016-11-11,5003800,186.474202
2016-11-14,4796400,186.771028
2016-11-15,3750000,187.334984
2016-11-16,3459100,186.978796
2016-11-17,4211200,187.295414
2016-11-18,4359200,186.990808
2016-11-21,2999100,187.863938
2016-11-22,2756300,188.538644
2016-11-23,2465900,189.104193
2016-11-25,1547100,189.808664
2016-11-28,3159600,189.292714
2016-11-29,2264900,189.699521
2016-11-30,4774600,189.907876
2016-12-01,8323900,190.403978
2016-12-02,2773600,190.245237
2016-12-05,2925600,190.72149
2016-12-06,2669400,190.98939
2016-12-07,7241300,193.956071
2016-12-08,7032100,194.749837
2016-12-09,4392300,196.148849
2016-12-12,3791700,196.535808
2016-12-13,5357500,197.676836
2016-12-14,7456100,196.595337
2016-12-15,6033000,197.111288
2016-12-16,4467700,197.073504
2016-12-19,2729400,197.481198
2016-12-20,3062600,198.296571
2016-12-21,2523500,198.038041
2016-12-22,2250900,197.849109
2016-12-23,1374200,197.92866
2016-12-27,2340700,198.087762
2016-12-28,3818100,196.964123
2016-12-29,3018700,196.874634
2016-12-30,4277400,196.397327
2017-01-03,6669800,197.302204
2017-01-04,4823200,198.028088
2017-01-05,4124500,197.630347
2017-01-06,4322600,198.38606
2017-01-09,2299500,197.640285
2017-01-10,3029200,197.282313
2017-01-11,5209800,198.207082
2017-01-12,3865200,197.630347
2017-01-13,3468900,197.580626
2017-01-17,3329800,196.974062
2017-01-18,4634800,196.834851
2017-01-19,3050900,196.168627
2017-01-20,6999000,197.03757
2017-01-23,3249700,196.858401
2017-01-24,5205800,197.913459
2017-01-25,4880800,199.486099
2017-01-26,3999700,199.784704
2017-01-27,3576500,199.695127
2017-01-30,4718000,198.450951
2017-01-31,4628100,197.4357
2017-02-01,3676900,197.704446
2017-02-02,2640600,197.684535
2017-02-03,4857300,199.446292
2017-02-06,2770900,199.346752
2017-02-07,2606300,199.645357
2017-02-08,2291500,199.575676
2017-02-09,3487600,200.780044
2017-02-10,2880300,201.795295
2017-02-13,2637400,203.248484
2017-02-14,3586600,204.213965
2017-02-15,3646000,205.418333
2017-02-16,4589600,205.517858
2017-02-17,5747700,205.478939
2017-02-21,3076400,206.666623
2017-02-22,2254400,207.045872
2017-02-23,3179900,207.415162
2017-02-24,3703900,207.524933
2017-02-27,3433700,207.884232
2017-02-28,2821900,207.574839
2017-03-01,7846100,210.608925
2017-03-02,3336900,209.481121
2017-03-03,2589000,209.501087
2017-03-06,2524700,209.071916
2017-03-07,2741000,208.762523
2017-03-08,3173100,208.203616
2017-03-09,4430100,208.263497
2017-03-10,3004000,208.742557
2017-03-13,2261800,208.532975
2017-03-14,4433000,208.133745
2017-03-15,5737000,209.171728
2017-03-16,3018400,209.032001
2017-03-17,2873200,208.860001
2017-03-20,3308600,208.809998
2017-03-21,6192400,206.350006
2017-03-22,3898500,206.410004
2017-03-23,3840000,206.309998
2017-03-24,4052700,205.75
2017-03-27,4559600,205.229996
2017-03-28,3538000,206.75
